"text","return","Repurchase","PositveWOM","complainseller","negativeWOM","CONFRONTCOPING","SUPPORTSEEKINGCOPING","bookkeeping","helpothers","Retaliation","Cognition","objectivness"
"Sharp, clean, locks well. I'd buy another",0,0,1,0,0,0,0,1,0,0,0,0
"Good",0,0,1,0,0,0,0,0,0,0,0,0
"Easy to install and works great",0,0,1,0,0,0,0,1,0,0,0,0
"This is another old friend I rely upon when looking for something different in the way of a greeting card. I enjoy adding personal pictures and changing text included with the cards, as well as using theirs. Sometimes I simply get rid of all information inside and write a personal letter in it. That is usually very well received. There are many combinations of ways to change each card and personalize it.",0,0,1,0,0,0,0,1,0,0,1,0
"Exactly what I expected and cost less than target and Walmart",0,0,1,0,0,0,0,0,0,0,0,0
"I live in these shorts now. They are so comfortable. I'm usually a size 4-6, I got a small and they fit perfect. Not too tight around the thighs either-which is usually why I can't wear shorts like this.",0,0,1,0,0,0,0,1,1,0,1,0
"Great product, easy to install",0,0,1,0,0,0,0,1,0,0,0,0
"Works as described worth the extra mins easy to install",0,0,1,0,0,0,0,1,0,0,0,0
"Works great",0,0,1,0,0,0,0,0,0,0,0,0
"Best screwdriver since the sliced bread Has most tips and nut driver sizes right at the finger tips",0,0,1,0,0,0,0,1,0,0,1,0
"Still learning but initial indications are it will speed up my book",0,0,0,0,0,0,0,0,0,0,0,0
"Very comfortable. Washes up nice. Cool too wear in az",0,0,1,0,0,0,0,1,0,0,1,0
"New undies",0,0,0,0,0,0,0,0,0,0,0,0
"I really like these pants. They're cheap and stretch. The color was darker than the picture. They feel good for every day wear.",0,0,1,0,0,0,0,1,0,0,1,1
"Wish I'd had this as a kid! Learning to keyboard is turned into a game, the opposite of the tedious exercises I had to do in typing class. As the learner progresses, the game is more complex. Fun, challenging and instills good keyboard habits.",0,0,1,0,0,0,0,1,0,0,1,0
"Runs on dos system doesn't work on windows 10. Never got to play.",0,0,0,0,1,0,0,1,0,0,0,0
"My husband wears these all the times and we've had them (I ordered several in different colors) for several months. They wash well and I like that he's a little better dressed than a plain T-shirt. He throws one of these on for everything (trips to the store, the pharmacy, running errands, post office, shopping, grocery store, doctor's office, etc) and they look great with a pair of jeans, slacks, sweat pants, or athletic slacks... Still looking good after all these months.",0,1,1,0,0,0,0,1,0,0,1,0
"Bought it to use camping and absolutely love it! Works awesome and cute as a button.. now that camping season is coming to a close I'll use it at home to wash small delicates that I hang to dry anyway.",0,0,1,0,0,0,0,1,0,0,1,0
"I purchased two palettes just for fun! This is by far a great deal.",0,0,1,0,0,0,0,0,0,0,0,0
"This product will not open. I want my money back!",1,0,0,0,1,1,0,0,0,0,0,0
"Good stuff, works better than over the counter sleeping pills, and not sleepy all day.",0,0,1,0,0,0,0,1,0,0,0,0
"Ordered these for my brother, who is a carpenter. I don't know much about them but he swears by them.",0,0,1,0,0,0,0,0,0,0,0,0
"Client really likes this product. She is in her 80's and it is a big help to her.",0,0,1,0,0,0,0,1,0,0,0,0
"Great !",0,0,1,0,0,0,0,0,0,0,0,0
"Great price for a basic drafting/designing program. I am using it to design my dream dollhouse. I would love more pre-made objects to drop into the plan.",0,0,1,0,0,0,0,1,0,0,1,1
"This smells great and leaves my skin so soft! I love the instant color I get using this. I haven't had a problem with streaking",0,0,1,0,0,0,0,1,0,0,1,0
"Webroot makes it easy to install product.",0,0,1,0,0,0,0,1,0,0,0,0
"Although we had to return it cause it was too big, my wife said that it was a thick full bra. She said she really like the firmness and that it was still low profile.",1,0,1,0,0,0,0,1,0,0,1,1
"Works well as usual.",0,0,1,0,0,0,0,0,0,0,0,0
"Value for money",0,0,1,0,0,0,0,0,0,0,0,0
"Put it right to work.",0,0,0,0,0,0,0,0,0,0,0,0
"Best screw driver I ever had! I use this thing daily at work, so versatile, not to heavy and easy to flip tips. I liked it so much I bought a second for the house.",0,1,1,0,0,0,0,1,0,0,1,0
"Easy to use with MacBook Pro laptop, enjoying watching he memories on the laptop",0,0,1,0,0,0,0,1,0,0,0,0
"Great phone for the money and works on T-Mobile. I love this phone and get 2 day battery on it some days. Only downside is no custom roms but I don't have time for that stuff. Miui is better than I would have thought. This is my third xiaomi phone and I'll keep buying them if the the price for the features is this great.",0,1,1,0,0,0,0,1,0,0,1,1
"cheap & best",0,0,1,0,0,0,0,0,0,0,0,0
"Work great!",0,0,1,0,0,0,0,0,0,0,0,0
"I like the detail of this appliance. Decent Quality with Great Pricing",0,0,1,0,0,0,0,1,0,0,1,0
"Tissu lï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ger et de bonne qualitï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½, p",0,0,0,0,0,0,0,0,0,0,0,0
"Don't buy! My granddaughter (17) took it on her New York trip and not one picture worth printing!!",0,0,0,0,1,1,0,0,0,1,0,0
"Nice rain coat, thin, no lining, only for summer rains. Otherwise layer a sweater underneath. I purchased with that in mind. Western NY has so strange weather, hot, humid rainy summer with freezing fall rains. So doubling a sweater underneath worked nicely for my son.",0,0,1,0,0,0,0,1,0,0,1,1
"Works just fine for my needs. I have Windows 10.",0,0,1,0,0,0,0,1,0,0,0,0
"na",0,0,0,0,0,0,0,0,0,0,0,0
"Perfect! Needed light weight jacket for trip to Europe where it rains off and on all day long. This was great for keeping in backpack.",0,0,1,0,0,0,0,1,0,0,0,0
"After taking all the time to download the product I got an error message that my Mac wouldn't accept the software because it wasn't from the App Store. I suppose there's a workaround but it's not worth taking the time. I resubscribed to Microsoft Office.",0,0,0,0,1,0,1,1,0,0,0,0
"fit well comfortable love the color great fit.",0,0,1,0,0,0,0,1,0,0,1,0
"At first it was okay but once it got wrinkles I couldn't get them out or iron the shirt hot enough because the fabric would burn. Kinda useless shirt now if it's too wrinkled and I can't wear it too work.",0,0,0,0,1,0,0,1,0,0,0,1
"I used this on my little aspire acer. I also updated my home computer and linked the two together so I have access to my home files when I'm off on my little aspire.",0,0,0,0,0,0,0,1,0,0,0,0
"I'm very happy with this drawer. Containers are made of a sturdy plastic and there are plenty of them. I've been using this to hold small screws and some small electronics for my projects. Only complaint is it is annoying to cut the the dividers out of the back, and that there arent enough of them for all the containers. Also there is a small hole in each of the containers, so very small screws are able to fall through.",0,0,1,0,0,0,0,1,0,0,1,1
"Very easy to use, as in PrintMaster 15.",0,0,1,0,0,0,0,1,0,0,0,0
"I only give a 4 star for the price, but knowing that if an issue does arise I will be notified right away is a good piece of mind. I installed our unit within the required distance to our bedrooms (10') and then as close as possible to the kitchen area, but at 4+ times the cost of a standard smoke or Co2 combo alarm I don't know that I can justify replacing all the units to the Nest alarms.",0,0,1,0,0,0,0,1,0,0,1,1
"Amazing! User-friendly interface. Tools are conveniently placed. Only thing that could really make it better is if there was an in-software tutorial. There may be one but I just haven't found it yet (just got it 2 days ago).",0,0,1,0,0,0,1,1,0,0,1,1
"Was looking for shorts that would be great for this hot wealthier in Miami n these have been great they fit perfect not tight",0,0,1,0,0,0,0,1,0,0,0,0
"Works great",0,0,1,0,0,0,0,0,0,0,0,0
"Straight from the bottle this stuff burns like crazy, so I use it in my water pick and it works great. It keeps my mouth clean and refreshed plus it (with the water pick) gets the gunk out between my teeth.",0,0,1,0,0,0,0,1,0,0,1,1
"We love our nest system! I love being able to check the home's status whenever I want.",0,0,1,0,0,0,0,1,0,0,0,0
"I was a little skeptical because I saw some negative reviews of people who's activation code didn't work, but for me the installation and activation went flawlessly.",0,0,1,0,0,0,0,1,0,0,0,1
"This didn't hold up at all.",0,0,0,0,1,0,0,1,0,0,0,0
"I've had a few of these and they usually last a little over a year before one of the mics shorts out. Pretty good bass.",0,1,1,0,0,0,0,1,0,0,0,1
"In our opinion, the best antivirus software on the market. Easy to install and usually Runs quickly and quietly in the background. Have owned and used it for several years and keep renewing.",0,1,1,0,0,0,0,1,0,0,1,0
"When you open the box, there is no instructions on how to get the annoying white cap off. After using my teeth and keys, I finally figured out what you are supposed to do: Pull the cover that says ""Amazon Basics"" OFF and there you have your problem solved. I apologize if this solution was mentioned, but this will hopefully prevent some one star reviews I saw. The weather covering is useless. It doesn't even help fasten the connection so i just pulled it all off and connected my cables and everything works fine.",0,0,1,0,0,0,0,1,1,0,1,1
"Product fix ok",0,0,0,0,0,0,0,0,0,0,0,0
"I dont know my wife wanted it but shes not complaining",0,0,0,0,0,0,0,0,0,0,0,0
"I like Kaspersky. BUT - this time it was with a download. I have spent 2 hours trying to do the download on ONE computer and cannot get it done. It screwed up my setting on the computer that I tried and had to restore my system. There is NO WAY in hell I will do this to the other 4 to install. HELP!!! SEND ME THE CD/DISK!!!!!",0,0,0,0,1,1,1,1,0,1,0,1
"Great color",0,0,1,0,0,0,0,1,0,0,0,0
"great for measuring and doesn't collapse.",0,0,1,0,0,0,0,1,0,0,0,0
"great fit",0,0,1,0,0,0,0,1,0,0,0,0
"I usually wear a small in shirts and ordered a small. Fits great. The length is a little short. Wish it were a tad longer. Hits right at the top of my low rise jeans. I'm 5'8"" 145 pounds for the record with a 34B chest size. Great fabric. Lightweight for work. The sleeves are shorter than I expected. More of a cap sleeve. Overall great uniform work shirt. May order a medium to get a little longer length.",0,1,1,0,0,0,0,1,0,0,1,1
"Took just a few minutes to install on a Windows 10 PC and an iPhone. I will try a MacBook next. I have experienced no issues and the VPN is easy to toggle on and off. My only concern is what the renewal charges will be.",0,0,1,0,0,0,0,1,0,0,1,1
"Great product",0,0,1,0,0,0,0,0,0,0,0,0
"If you're running a business from older Printmaster versions, this is the last of its kind; newer versions will not let you access your old Printmaster files. A must if you have Windows 7 and can't run older Printmaster versions because they only accomodate 32 bits and not 64.",0,0,0,0,0,0,0,1,1,0,1,1
"Literally can't beat this Antivirus protection. Took me all of 60 seconds to install. It didn't affect the speed of my web browsing a single bit I would definitely recommend not to mention its only 20 bucks for the 2017 version and it allows you to install to 3 devices with one code.",0,0,1,0,0,0,0,1,0,0,1,0
"Comfortable jeans love it",0,0,1,0,0,0,0,1,0,0,0,0
"The fit runs a bit small on my 14mo old, it's tight around the shoulders. It's also extremely thin, which may be good feature, but I thought there would be at least more than a millimeter of protection, or some sort of internal liner or padding, but nope. For the price, I'd rather get a warmer jacket in general. As for the rain protection, it works as it should, just it's not worth the price. Save your money.",0,0,0,0,1,0,0,1,1,0,1,1
"Stuck just fine on my face but it didn't do jack to the acne. Family kept informing me that I had stickers on my face but little did they know that a big ole pimple was hiding under there haha. I really wanted them to work but oh well...live and learn.",0,0,0,0,1,0,0,1,0,0,0,1
"After spending an hour to try to get this thing working I chat with customer support, oh you need to erase what you downloaded and use this link I just posted and do it again! Oh sure I have nothing better to do! I am sending it back although it had a warning that if you open this cd package you cant send it back, what if it doesn't work?",1,0,0,1,1,1,1,1,0,1,0,0
"THIS ITEM WILL NOT INSTALL ON IMAC HIGH SIERRA. It is misrepresented",0,0,0,0,1,0,0,1,0,0,0,0
"Excelente",0,0,1,0,0,0,0,0,0,0,0,0
"Perfect for lounging or my outdoor yoga class. Soft and comfortable. The pockets are excellent for my phone when I got out for a walk.",0,0,1,0,0,0,0,1,0,0,1,0
